0,1
5.90000,6.90000
1,1
6.20000,7.20000
2,1
6.50000,7.20000
3,1
6.80000,7.20000
4,1
7.10000,7.50000
5,1
7.40000,7.80000
6,1
7.70000,7.80000
7,1
8.00000,7.80000
8,1
8.30000,8.10000
9,1
8.60000,8.10000
10,1
8.90000,8.40000
11,1
9.20000,8.40000
12,1
9.50000,8.40000
13,1
9.80000,8.70000
14,1
10.10000,8.70000
15,1
10.40000,8.40000
16,1
10.70000,8.10000
17,1
10.70000,7.80000
18,1
10.70000,7.50000
19,1
10.70000,7.20000
20,1
10.70000,6.90000
21,1
10.70000,6.60000
22,1
10.70000,6.30000
23,1
10.70000,6.00000
24,1
10.70000,5.70000
25,1
11.00000,5.40000
26,1
11.30000,5.10000
27,1
11.60000,4.80000
28,1
11.90000,4.50000
29,1
12.20000,4.50000
30,1
12.50000,4.20000
31,1
12.50000,3.90000
32,1
12.80000,3.60000
